Date,Ticker,Close,Open,High,Low,Adj Close,Volume
2006-04-10,USO,544.16,546.0,548.0,541.36,544.16,484738
2006-04-11,USO,545.6,546.56,547.12,538.4,545.6,162138
2006-04-12,USO,542.72,545.76,550.48,542.48,542.72,156038
2006-04-13,USO,550.56,540.0,551.92,539.2,550.56,70088
2006-04-17,USO,558.32,553.6,559.2,549.44,558.32,114713
2006-04-18,USO,566.0,560.8,568.4,556.56,566.0,115338
2006-04-19,USO,574.8,564.64,577.28,563.92,574.8,98725
2006-04-20,USO,568.72,575.36,577.28,564.08,568.72,105400
2006-04-21,USO,582.48,567.12,585.84,566.4,582.48,133225
2006-04-24,USO,568.08,571.2,579.6,566.32,568.08,130350
2006-04-25,USO,565.12,573.44,574.48,556.96,565.12,356738
2006-04-26,USO,556.32,563.52,566.8,555.6,556.32,112400
2006-04-27,USO,549.6,552.8,556.64,548.56,549.6,79450
2006-04-28,USO,556.96,554.08,564.0,551.92,556.96,108513
2006-05-01,USO,572.0,561.2,573.2,560.0,572.0,69438
2006-05-02,USO,578.72,574.72,581.52,570.72,578.72,108875
2006-05-03,USO,561.76,579.84,579.84,560.0,561.76,126875
2006-05-04,USO,546.56,554.96,558.16,538.24,546.56,194688
2006-05-05,USO,544.0,546.4,547.76,541.44,544.0,83900
2006-05-08,USO,543.04,537.04,543.92,530.4,543.04,164038
2006-05-09,USO,547.2,543.92,553.44,542.08,547.2,97875
2006-05-10,USO,558.16,546.56,558.16,539.84,558.16,88063
2006-05-11,USO,562.4,568.0,568.4,559.36,562.4,129438
2006-05-12,USO,552.88,563.52,563.52,552.32,552.88,75950
2006-05-15,USO,533.04,539.76,542.16,531.6,533.04,83738
2006-05-16,USO,533.6,536.56,543.2,530.48,533.6,100250
2006-05-17,USO,525.6,533.36,534.0,523.12,525.6,102838
2006-05-18,USO,533.92,525.44,534.32,520.8,533.92,82088
2006-05-19,USO,524.56,528.0,531.68,521.2,524.56,101513
2006-05-22,USO,530.24,519.12,532.56,519.12,530.24,96213
2006-05-23,USO,542.16,538.0,547.36,537.68,542.16,78863
2006-05-24,USO,528.8,537.68,543.44,528.4,528.8,50088
2006-05-25,USO,542.4,533.44,543.04,530.48,542.4,37538
2006-05-26,USO,542.0,539.68,545.84,538.64,542.0,33688
2006-05-30,USO,546.56,549.76,552.64,545.76,546.56,61175
2006-05-31,USO,541.84,541.12,543.28,532.64,541.84,58963
2006-06-01,USO,534.56,534.72,546.0,532.08,534.56,115350
2006-06-02,USO,551.2,542.08,553.2,540.4,551.2,55438
2006-06-05,USO,549.92,557.52,558.24,547.52,549.92,49150
2006-06-06,USO,550.08,544.72,551.6,542.4,550.08,22475
2006-06-07,USO,538.24,546.16,546.64,536.08,538.24,45000
2006-06-08,USO,536.96,532.24,536.96,526.48,536.96,38538
2006-06-09,USO,544.56,540.0,545.6,540.0,544.56,42750
2006-06-12,USO,536.64,547.12,547.12,534.88,536.64,26650
2006-06-13,USO,521.44,527.52,529.84,521.04,521.44,75338
2006-06-14,USO,526.32,524.08,527.28,520.0,526.32,41675
2006-06-15,USO,529.28,530.8,532.16,527.6,529.28,38588
2006-06-16,USO,530.0,527.76,531.76,522.0,530.0,27338
2006-06-19,USO,524.32,526.56,526.88,519.92,524.32,23500
2006-06-20,USO,522.32,527.28,529.6,519.36,522.32,27050
2006-06-21,USO,530.8,522.72,533.84,520.24,530.8,30100
2006-06-22,USO,536.0,533.52,536.24,529.52,536.0,29675
2006-06-23,USO,535.12,531.44,537.68,530.96,535.12,14888
2006-06-26,USO,541.6,533.36,542.8,532.0,541.6,23000
2006-06-27,USO,544.64,545.04,547.36,541.04,544.64,43425
2006-06-28,USO,546.48,543.76,549.76,540.72,546.48,30038
2006-06-29,USO,556.08,546.8,556.72,546.48,556.08,59875
2006-06-30,USO,558.16,556.08,560.16,555.44,558.16,32425
2006-07-03,USO,559.44,561.68,562.96,559.44,559.44,21013
2006-07-05,USO,568.0,559.12,569.2,558.24,568.0,62050
2006-07-06,USO,566.16,566.4,568.8,561.6,566.16,42125
2006-07-07,USO,558.8,571.44,572.0,558.16,558.8,51913
